Año,Mes,Bodega,Unidad,Linea,Grupo,Subgrupo3,Cod_solo,Codigo,Serie_lote,vencimiento_lote,Descripción,Unidad_Medida_corep,Stock,Stock Pedido,Stock Real,Costo_promedio,Costo Total,Precio Venta,costo ultimo,Fecha Ingreso Lote,stock minimo,stock maximo,alterno,ubicacion,ubicacion2,ubicacion3,fecha_creacion,Dias_inventario,ultima_venta,ultima_compra,Proveedor,und,und_cant1,dias_reposicion,no_pedir,promocion,calificacion_abc,desc_color,porcentaje_iva,Controlado,Notas,und2,und_cant2,und3,und_cant3,und4,und_cant4,Motivo_UIO,Motivo_GYE
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152537,152537,,,Ink Electronic Component 15/80_+_C/18/80_+/UHS,Unidad,3.0000,0.0000,3.0000,718.3050,2154.92,1928.9900,718.3050,,,,,B1-P57-F5,,,2025-08-20,418,,2024-12-26 04:01:24,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,1030 - BODEGA DISPONIBLE PARA LA VENTA UIO,CODIFICACION,VIDEOJET,REPUESTOS,,152537,152537,,,Ink Electronic Component 15/80_+_C/18/80_+/UHS,Unidad,2.0000,0.0000,2.0000,718.3050,1436.61,1928.9900,718.3050,,,,,P38-N05,,,2025-08-20,418,,2024-12-26 04:01:24,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152538,152538,,,Belt 107 65/30,Unidad,7.0000,0.0000,7.0000,42.6379,298.47,139.1100,41.8300,,1.0000,3.0000,,B1-P57-F4,,,2025-08-20,5,2025-08-14 07:14:37,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,1030 - BODEGA DISPONIBLE PARA LA VENTA UIO,CODIFICACION,VIDEOJET,REPUESTOS,,152543,152543,,,FILTER MDS1/ 1880_1880+_1880UHS,Unidad,1.0000,0.0000,1.0000,217.1758,217.18,662.7900,203.3000,,1.0000,2.0000,,P37-N03,,,2025-08-20,5,2025-03-05 10:51:39,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2031 - BODEGA EQUIPOS USADOS OPERATIVOS GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152543,152543,,,FILTER MDS1/ 1880_1880+_1880UHS,Unidad,1.0000,0.0000,1.0000,217.1758,217.18,662.7900,203.3000,,,,,,,,2025-08-20,5,,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2021 - MALETÍN TÉCNICOS GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152543,152543,,,FILTER MDS1/ 1880_1880+_1880UHS,Unidad,1.0000,0.0000,1.0000,217.1758,217.18,662.7900,203.3000,,,,,,,,2025-08-20,5,,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8001 - TRANSFERENCIAS EN TRÁNSITO,CODIFICACION,VIDEOJET,REPUESTOS,,152543,152543,,,FILTER MDS1/ 1880_1880+_1880UHS,Unidad,2.0000,0.0000,2.0000,217.1758,434.35,662.7900,203.3000,,,,,,,,2025-08-20,5,,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8003 - REMISIONES GUAYAQUIL,CODIFICACION,VIDEOJET,REPUESTOS,,152543,152543,,,FILTER MDS1/ 1880_1880+_1880UHS,Unidad,11.0000,0.0000,11.0000,217.1758,2388.93,662.7900,203.3000,,,,,,,,2025-08-20,5,2025-12-31 15:35:59,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8002 - REMISIONES QUITO,CODIFICACION,VIDEOJET,REPUESTOS,,152543,152543,,,FILTER MDS1/ 1880_1880+_1880UHS,Unidad,1.0000,0.0000,1.0000,217.1758,217.18,662.7900,203.3000,,,,,,,,2025-08-20,5,2026-01-31 04:49:45,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,1030 - BODEGA DISPONIBLE PARA LA VENTA UIO,CODIFICACION,VIDEOJET,REPUESTOS,,152545,152545,,,Card (Shooting Printing) PEC2 18/80_+_UHS,Unidad,1.0000,0.0000,1.0000,214.5100,214.51,693.2700,214.5100,,,,,P37-N06,,,2025-08-20,473,,2024-11-01 06:00:00,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152545,152545,,,Card (Shooting Printing) PEC2 18/80_+_UHS,Unidad,2.0000,0.0000,2.0000,214.5100,429.02,693.2700,214.5100,,,,,B1-P56-F4,,,2025-08-20,473,,2024-11-01 06:00:00,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,ACCESORIOS,,152550,152550,,,HS WORKFLOW MODULE,Unidad,4.0000,0.0000,4.0000,792.4517,3169.81,1980.0000,767.6200,,,,,SISTEMA,,,2025-08-20,272,2025-12-17 05:06:43,2025-05-21 07:47:40,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152552,152552,,,Cord Electronic 1580_1580+_1580C 3mts,Unidad,2.0000,0.0000,2.0000,1108.3517,2216.70,2681.8700,1108.3517,,0.0000,0.0000,,B1-P55-F7,,,2025-08-20,265,,2025-05-28 03:50:05,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,1030 - BODEGA DISPONIBLE PARA LA VENTA UIO,CODIFICACION,VIDEOJET,REPUESTOS,,152552,152552,,,Cord Electronic 1580_1580+_1580C 3mts,Unidad,1.0000,0.0000,1.0000,1108.3517,1108.35,2681.8700,1108.3517,,,,,P37-N07,,,2025-08-20,265,,2025-05-28 03:50:05,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152554,152554,,,Ink Regulator Assembly 1580_Plus,Unidad,5.0000,0.0000,5.0000,1017.9337,5089.67,2137.0800,978.6900,,2.0000,3.0000,,B1-P59-F4,B1-P60-F4,,2025-08-20,5,2025-11-17 13:04:20,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8001 - TRANSFERENCIAS EN TRÁNSITO,CODIFICACION,VIDEOJET,REPUESTOS,,152554,152554,,,Ink Regulator Assembly 1580_Plus,Unidad,4.0000,0.0000,4.0000,1017.9337,4071.73,2137.0800,978.6900,,,,,,,,2025-08-20,5,,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8002 - REMISIONES QUITO,CODIFICACION,VIDEOJET,REPUESTOS,,152554,152554,,,Ink Regulator Assembly 1580_Plus,Unidad,2.0000,0.0000,2.0000,1017.9337,2035.87,2137.0800,978.6900,,,,,,,,2025-08-20,5,2025-10-27 01:16:17,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8003 - REMISIONES GUAYAQUIL,CODIFICACION,VIDEOJET,REPUESTOS,,152554,152554,,,Ink Regulator Assembly 1580_Plus,Unidad,4.0000,0.0000,4.0000,1017.9337,4071.73,2137.0800,978.6900,,,,,,,,2025-08-20,5,2025-12-31 19:24:14,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8003 - REMISIONES GUAYAQUIL,CODIFICACION,VIDEOJET,REPUESTOS,,152556,152556,,,Eht Power Supply 1580_1580+_1580C_1880_1880+_1880UHS,Unidad,1.0000,0.0000,1.0000,283.7779,283.78,680.4100,272.3900,,,,,,,,2025-08-20,5,2025-12-31 19:22:33,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8001 - TRANSFERENCIAS EN TRÁNSITO,CODIFICACION,VIDEOJET,REPUESTOS,,152556,152556,,,Eht Power Supply 1580_1580+_1580C_1880_1880+_1880UHS,Unidad,1.0000,0.0000,1.0000,283.7779,283.78,680.4100,272.3900,,,,,,,,2025-08-20,5,,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2021 - MALETÍN TÉCNICOS GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152556,152556,,,Eht Power Supply 1580_1580+_1580C_1880_1880+_1880UHS,Unidad,1.0000,0.0000,1.0000,283.7779,283.78,680.4100,272.3900,,,,,,,,2025-08-20,5,,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,1030 - BODEGA DISPONIBLE PARA LA VENTA UIO,CODIFICACION,VIDEOJET,REPUESTOS,,152556,152556,,,Eht Power Supply 1580_1580+_1580C_1880_1880+_1880UHS,Unidad,1.0000,0.0000,1.0000,283.7779,283.78,680.4100,272.3900,,,,,P38-N04,,,2025-08-20,5,2025-12-02 08:06:14,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152558,152558,,,Control System Make-up 15-80_+/18-80_+_UHS,Unidad,2.0000,0.0000,2.0000,884.4321,1768.86,1818.1900,832.6600,,0.0000,1.0000,,B1-P57-F1,,,2025-08-20,5,2025-11-19 06:20:16,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
